GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC01,HC02_EST_VC01,HC04_EST_VC01,HC01_EST_VC36,HC02_EST_VC36,HC04_EST_VC36,HC01_EST_VC37,HC02_EST_VC37,HC04_EST_VC37
Id,Id2,Geography,Total; Estimate; Population 16 years and over,Labor Force Participation Rate; Estimate; Population 16 years and over,Unemployment rate; Estimate; Population 16 years and over,Total; Estimate; POVERTY STATUS IN THE PAST 12 MONTHS - Below poverty level,Labor Force Participation Rate; Estimate; POVERTY STATUS IN THE PAST 12 MONTHS - Below poverty level,Unemployment rate; Estimate; POVERTY STATUS IN THE PAST 12 MONTHS - Below poverty level,Total; Estimate; POVERTY STATUS IN THE PAST 12 MONTHS - At or above the poverty level,Labor Force Participation Rate; Estimate; POVERTY STATUS IN THE PAST 12 MONTHS - At or above the poverty level,Unemployment rate; Estimate; POVERTY STATUS IN THE PAST 12 MONTHS - At or above the poverty level
1400000US06001400100,06001400100,"Census Tract 4001, Alameda County, California",2596,62.1,5.6,67,23.9,0.0,1766,77.4,2.3
1400000US06001400200,06001400200,"Census Tract 4002, Alameda County, California",1709,73.1,2.2,51,60.8,16.1,1174,89.1,2.2
1400000US06001400300,06001400300,"Census Tract 4003, Alameda County, California",4537,79.2,8.8,282,56.0,37.3,3454,92.3,7.7
1400000US06001400400,06001400400,"Census Tract 4004, Alameda County, California",3553,76.1,3.3,252,56.3,6.3,2679,90.6,3.3
1400000US06001400500,06001400500,"Census Tract 4005, Alameda County, California",3223,75.9,6.5,440,61.8,36.0,2414,86.0,2.6
1400000US06001400600,06001400600,"Census Tract 4006, Alameda County, California",1466,74.5,14.9,80,37.5,36.7,1175,87.2,13.9
1400000US06001400700,06001400700,"Census Tract 4007, Alameda County, California",3905,61.3,10.5,537,53.1,27.7,2475,84.5,8.2
1400000US06001400800,06001400800,"Census Tract 4008, Alameda County, California",3192,73.7,11.1,269,54.3,26.7,2281,87.4,8.8
1400000US06001400900,06001400900,"Census Tract 4009, Alameda County, California",1795,72.1,5.3,201,52.2,14.3,1237,86.7,3.2
1400000US06001401000,06001401000,"Census Tract 4010, Alameda County, California",5227,70.9,9.2,1200,47.6,17.5,3518,87.8,7.8
1400000US06001401100,06001401100,"Census Tract 4011, Alameda County, California",3793,78.4,12.8,472,36.0,18.8,2882,92.5,10.9
1400000US06001401200,06001401200,"Census Tract 4012, Alameda County, California",2257,82.2,11.8,165,66.7,36.4,1753,94.2,9.2
1400000US06001401300,06001401300,"Census Tract 4013, Alameda County, California",3813,65.1,15.5,1063,62.8,41.8,1955,89.2,5.5
1400000US06001401400,06001401400,"Census Tract 4014, Alameda County, California",3355,60.7,16.2,1060,57.5,40.2,1765,77.4,3.4
1400000US06001401500,06001401500,"Census Tract 4015, Alameda County, California",2025,70.5,9.7,434,55.3,33.3,1272,91.6,5.1
1400000US06001401600,06001401600,"Census Tract 4016, Alameda County, California",1574,68.7,8.4,368,45.9,27.8,1041,82.7,4.5
1400000US06001401700,06001401700,"Census Tract 4017, Alameda County, California",2333,77.8,6.7,415,58.1,32.0,1745,88.2,2.8
1400000US06001401800,06001401800,"Census Tract 4018, Alameda County, California",1427,68.3,20.0,399,56.4,32.9,759,90.3,14.6
1400000US06001402200,06001402200,"Census Tract 4022, Alameda County, California",2052,70.1,13.8,376,54.8,17.0,1308,90.5,12.1
1400000US06001402400,06001402400,"Census Tract 4024, Alameda County, California",2445,62.6,16.2,425,60.9,24.7,1415,79.0,9.0
1400000US06001402500,06001402500,"Census Tract 4025, Alameda County, California",1205,62.2,25.5,430,55.1,48.1,583,84.0,11.2
1400000US06001402600,06001402600,"Census Tract 4026, Alameda County, California",1127,54.3,16.7,282,61.0,37.2,489,86.1,6.7
1400000US06001402700,06001402700,"Census Tract 4027, Alameda County, California",1527,70.4,8.3,406,54.2,16.8,914,87.2,6.5
1400000US06001402800,06001402800,"Census Tract 4028, Alameda County, California",3244,57.5,14.9,1095,40.5,41.4,1604,85.0,3.8
1400000US06001402900,06001402900,"Census Tract 4029, Alameda County, California",1399,55.9,7.9,207,47.3,42.9,764,85.3,3.1
1400000US06001403000,06001403000,"Census Tract 4030, Alameda County, California",2501,46.3,12.6,315,84.8,38.6,1041,79.8,4.2
1400000US06001403100,06001403100,"Census Tract 4031, Alameda County, California",1722,49.9,7.0,335,41.5,26.6,785,86.1,2.5
1400000US06001403300,06001403300,"Census Tract 4033, Alameda County, California",3752,73.1,8.9,667,75.4,20.1,2437,86.8,5.0
1400000US06001403400,06001403400,"Census Tract 4034, Alameda County, California",4057,69.6,5.3,302,44.4,11.9,2845,90.0,5.2
1400000US06001403501,06001403501,"Census Tract 4035.01, Alameda County, California",3934,60.4,6.3,571,51.1,19.5,2424,82.2,3.1
1400000US06001403502,06001403502,"Census Tract 4035.02, Alameda County, California",2051,81.5,9.4,242,66.9,48.8,1570,92.5,5.4
1400000US06001403600,06001403600,"Census Tract 4036, Alameda County, California",3951,79.8,7.0,266,63.9,30.6,3120,92.7,5.4
1400000US06001403701,06001403701,"Census Tract 4037.01, Alameda County, California",2606,70.3,1.6,231,64.9,0.0,1847,84.9,1.1
1400000US06001403702,06001403702,"Census Tract 4037.02, Alameda County, California",1790,84.7,3.5,86,88.4,48.7,1413,92.8,1.2
1400000US06001403800,06001403800,"Census Tract 4038, Alameda County, California",3035,81.1,5.0,228,76.3,34.5,2404,90.4,2.4
1400000US06001403900,06001403900,"Census Tract 4039, Alameda County, California",3408,76.3,9.0,289,72.3,12.4,2466,88.4,8.9
1400000US06001404000,06001404000,"Census Tract 4040, Alameda County, California",2613,82.8,6.6,249,45.8,21.9,2069,92.7,4.5
1400000US06001404101,06001404101,"Census Tract 4041.01, Alameda County, California",2684,76.1,8.1,156,76.3,21.0,2042,91.8,7.1
1400000US06001404102,06001404102,"Census Tract 4041.02, Alameda County, California",2310,65.3,8.3,119,74.8,51.7,1440,93.8,4.6
1400000US06001404200,06001404200,"Census Tract 4042, Alameda County, California",2846,64.3,7.1,50,80.0,62.5,1862,82.6,2.5
1400000US06001404300,06001404300,"Census Tract 4043, Alameda County, California",2738,69.1,5.4,58,19.0,0.0,1970,85.0,4.5
1400000US06001404400,06001404400,"Census Tract 4044, Alameda County, California",4348,79.1,1.2,286,80.8,4.8,3333,87.3,1.0
1400000US06001404501,06001404501,"Census Tract 4045.01, Alameda County, California",1385,70.8,8.8,17,41.2,0.0,929,91.8,10.1
1400000US06001404502,06001404502,"Census Tract 4045.02, Alameda County, California",4466,68.8,3.9,121,26.4,100.0,3173,87.9,3.2
1400000US06001404600,06001404600,"Census Tract 4046, Alameda County, California",3711,68.1,3.6,149,65.8,9.2,2602,80.8,3.9
1400000US06001404700,06001404700,"Census Tract 4047, Alameda County, California",1762,67.9,6.4,90,50.0,0.0,1287,80.7,6.8
1400000US06001404800,06001404800,"Census Tract 4048, Alameda County, California",2305,67.7,10.5,196,43.9,45.3,1618,82.4,7.7
1400000US06001404900,06001404900,"Census Tract 4049, Alameda County, California",3438,65.5,4.4,170,45.3,0.0,2238,86.7,4.7
1400000US06001405000,06001405000,"Census Tract 4050, Alameda County, California",2854,72.0,5.7,139,46.8,26.2,2104,87.6,5.1
