,Id,median_income,median_rent,name,rank_income,rank_rent,rent_change,sfba,state_code,type
0,0500000US01001,53099,896,"Autauga, AL",837.0,453.0,,,AL,county
1,0500000US01003,51365,889,"Baldwin, AL",1008.0,470.0,,,AL,county
2,0500000US01005,33956,588,"Barbour, AL",2856.0,2364.0,,,AL,county
3,0500000US01007,39776,654,"Bibb, AL",2354.0,1645.0,,,AL,county
4,0500000US01009,46212,631,"Blount, AL",1588.0,1902.0,,,AL,county
5,0500000US01011,29335,564,"Bullock, AL",3053.0,2572.0,,,AL,county
6,0500000US01013,34315,563,"Butler, AL",2836.0,2586.0,,,AL,county
7,0500000US01015,41954,635,"Calhoun, AL",2082.0,1853.0,,,AL,county
8,0500000US01017,36027,658,"Chambers, AL",2702.0,1614.0,,,AL,county
9,0500000US01019,38925,601,"Cherokee, AL",2428.0,2204.0,,,AL,county
10,0500000US01021,42594,646,"Chilton, AL",2012.0,1734.0,,,AL,county
11,0500000US01023,32622,497,"Choctaw, AL",2926.0,2960.0,,,AL,county
12,0500000US01025,32735,540,"Clarke, AL",2920.0,2740.0,,,AL,county
13,0500000US01027,38815,441,"Clay, AL",2443.0,3091.0,,,AL,county
14,0500000US01029,36316,582,"Cleburne, AL",2675.0,2420.0,,,AL,county
15,0500000US01031,47872,701,"Coffee, AL",1395.0,1243.0,,,AL,county
16,0500000US01033,43786,638,"Colbert, AL",1874.0,1819.0,,,AL,county
17,0500000US01035,27609,528,"Conecuh, AL",3085.0,2828.0,,,AL,county
18,0500000US01037,31910,567,"Coosa, AL",2963.0,2555.0,,,AL,county
19,0500000US01039,37313,585,"Covington, AL",2588.0,2391.0,,,AL,county
20,0500000US01041,37557,515,"Crenshaw, AL",2563.0,2895.0,,,AL,county
21,0500000US01043,39297,626,"Cullman, AL",2396.0,1954.0,,,AL,county
22,0500000US01045,44093,636,"Dale, AL",1834.0,1840.0,,,AL,county
23,0500000US01047,28136,581,"Dallas, AL",3079.0,2432.0,,,AL,county
24,0500000US01049,38248,552,"DeKalb, AL",2501.0,2663.0,,,AL,county
25,0500000US01051,53398,817,"Elmore, AL",814.0,675.0,,,AL,county
26,0500000US01053,32334,564,"Escambia, AL",2947.0,2573.0,,,AL,county
27,0500000US01055,40478,623,"Etowah, AL",2269.0,1990.0,,,AL,county
28,0500000US01057,36205,483,"Fayette, AL",2688.0,3010.0,,,AL,county
29,0500000US01059,36138,553,"Franklin, AL",2694.0,2653.0,,,AL,county
30,0500000US01061,36519,567,"Geneva, AL",2659.0,2556.0,,,AL,county
31,0500000US01063,21339,414,"Greene, AL",3136.0,3114.0,,,AL,county
32,0500000US01065,33351,449,"Hale, AL",2895.0,3083.0,,,AL,county
33,0500000US01067,41045,582,"Henry, AL",2197.0,2421.0,,,AL,county
34,0500000US01069,41945,707,"Houston, AL",2086.0,1201.0,,,AL,county
35,0500000US01071,38422,591,"Jackson, AL",2481.0,2331.0,,,AL,county
36,0500000US01073,47220,820,"Jefferson, AL",1454.0,661.0,,,AL,county
37,0500000US01075,34298,432,"Lamar, AL",2837.0,3104.0,,,AL,county
38,0500000US01077,43657,601,"Lauderdale, AL",1890.0,2205.0,,,AL,county
39,0500000US01079,42339,557,"Lawrence, AL",2040.0,2627.0,,,AL,county
40,0500000US01081,45056,806,"Lee, AL",1720.0,710.0,,,AL,county
41,0500000US01083,51115,628,"Limestone, AL",1035.0,1932.0,,,AL,county
42,0500000US01085,27914,589,"Lowndes, AL",3082.0,2355.0,,,AL,county
43,0500000US01087,32390,592,"Macon, AL",2943.0,2314.0,,,AL,county
44,0500000US01089,60150,783,"Madison, AL",411.0,801.0,,,AL,county
45,0500000US01091,30713,511,"Marengo, AL",3019.0,2906.0,,,AL,county
46,0500000US01093,34074,482,"Marion, AL",2846.0,3013.0,,,AL,county
47,0500000US01095,39831,604,"Marshall, AL",2353.0,2176.0,,,AL,county
48,0500000US01097,44263,801,"Mobile, AL",1809.0,727.0,,,AL,county
49,0500000US01099,28182,506,"Monroe, AL",3074.0,2925.0,,,AL,county
50,0500000US01101,45358,825,"Montgomery, AL",1684.0,646.0,,,AL,county
51,0500000US01103,46883,613,"Morgan, AL",1502.0,2094.0,,,AL,county
52,0500000US01105,24912,516,"Perry, AL",3119.0,2890.0,,,AL,county
53,0500000US01107,31679,420,"Pickens, AL",2971.0,3112.0,,,AL,county
54,0500000US01109,33193,613,"Pike, AL",2901.0,2095.0,,,AL,county
55,0500000US01111,37496,606,"Randolph, AL",2571.0,2156.0,,,AL,county
56,0500000US01113,38400,742,"Russell, AL",2483.0,983.0,,,AL,county
57,0500000US01115,54042,702,"St. Clair, AL",769.0,1238.0,,,AL,county
58,0500000US01117,72310,954,"Shelby, AL",153.0,335.0,,,AL,county
59,0500000US01119,20428,589,"Sumter, AL",3141.0,2356.0,,,AL,county
60,0500000US01121,37923,598,"Talladega, AL",2533.0,2233.0,,,AL,county
61,0500000US01123,39395,565,"Tallapoosa, AL",2387.0,2566.0,,,AL,county
